id,user,course,difficulty,workload,final_grade,semesters_taken,created_at,updated_at
60,11,234114,4.0,4.0,83.0,,2020-10-22 13:35:37.831164+00:00,2020-10-22 13:35:37.831216+00:00
61,11,45001,1.0,1.5,98.0,,2020-10-22 13:36:11.945318+00:00,2020-10-22 13:36:11.945348+00:00
62,11,114032,7.0,7.0,87.0,,2020-10-22 13:36:58.504317+00:00,2020-10-22 13:36:58.504366+00:00
63,11,104013,8.5,7.0,65.0,,2020-10-22 13:37:35.741495+00:00,2020-10-22 13:37:35.741543+00:00
64,11,44252,6.0,3.5,80.0,,2020-10-22 13:37:53.507325+00:00,2020-10-22 13:37:53.507361+00:00
65,11,114075,9.0,5.5,74.0,,2020-10-22 13:38:31.561740+00:00,2020-10-22 13:38:31.561784+00:00
66,12,44252,2.5,5.0,95.0,,2020-10-22 13:41:36.298218+00:00,2020-10-22 13:41:36.298243+00:00
67,12,104016,2.0,4.5,96.0,,2020-10-22 13:45:12.182536+00:00,2020-10-22 13:45:12.182583+00:00
68,12,104013,5.5,5.5,100.0,,2020-10-22 13:45:44.841730+00:00,2020-10-22 13:45:44.841771+00:00
69,12,104035,8.0,6.5,,,2020-10-22 13:46:05.457403+00:00,2020-10-22 13:46:05.457444+00:00
70,12,104031,7.0,7.0,100.0,,2020-10-22 13:46:35.612585+00:00,2020-10-22 13:46:35.612626+00:00
71,12,234117,4.0,6.0,,,2020-10-22 13:47:01.006174+00:00,2020-10-22 13:47:01.006229+00:00
73,12,114071,7.5,6.0,100.0,,2020-10-22 13:49:21.633088+00:00,2020-10-22 13:49:21.633116+00:00
74,12,45001,1.0,1.5,,,2020-10-22 13:51:16.113681+00:00,2020-10-22 13:51:16.113732+00:00
75,7,234117,5.0,5.0,86.0,,2020-10-22 14:11:33.361589+00:00,2020-10-22 14:11:33.361643+00:00
76,7,324032,5.0,5.0,,,2020-10-22 14:12:16.245759+00:00,2020-10-22 14:12:16.245808+00:00
77,7,324033,5.0,5.0,,,2020-10-22 14:12:28.996815+00:00,2020-10-22 14:12:28.996913+00:00
